age,annual_income,total_debt,credit_history_years,late_payments,existing_loans,savings,employment_years,monthly_expenses,creditworthy
25,41640.54230804614,11183.854474695661,0.0,1,0,46709.003015119626,14.034777888909044,700.0,1
55,71638.43962937381,38314.00164778503,27.686689783849957,0,1,22324.083700183946,10.042169421468042,3753.658233832153,1
50,55623.0137353346,17675.25676082545,21.222830750486075,0,1,71233.03613670319,14.214458462573107,2045.151992368215,1
40,49909.67651534374,28280.535653991832,21.097807430343167,1,3,26611.327740023495,7.887705992735199,919.5981245260484,0
40,53088.72524879363,17466.971310088455,19.416321827832988,1,0,46347.280017089884,6.7648067037210025,2994.164918902636,1
59,59016.19633131099,17692.5616773947,32.45364473975775,0,1,26788.567253517605,9.975650814494054,2976.9104681621325,1
24,66102.65559441604,12159.706667779923,7.390754295721297,1,4,69540.46961394805,14.21270254545604,3291.1030803332296,1
52,37005.17988395113,19191.239293662777,21.38367457281252,1,1,20777.696093299703,12.083671536195862,3604.1441316185346,1
30,36251.42261281711,21179.986944140473,2.8535378444350084,4,1,50971.598171893005,7.691119035771363,1772.912267648344,0
25,74884.22587724554,10157.414910848202,2.586455672896212,0,2,41280.20188413504,0.0,1812.516463998492,1
44,47577.93630031485,16749.555841401158,21.259564644923685,0,0,37277.57930995489,11.051930196856617,2313.1670584422745,1
64,29496.842333256267,11899.011339428864,35.0,1,0,34122.13321880591,0.0,3339.4761656496457,1
54,62988.628768895884,40996.64069614839,35.0,1,3,17993.774681456467,7.175028780761691,707.6249055688527,1
55,63340.65650858836,17102.692300883813,23.10328432405924,0,0,500.0,6.421169063147125,2715.3857024821314,1
53,27447.125369379286,33452.32151696559,35.0,1,2,49339.05795230907,0.0,3438.9096420326023,0
56,59130.670878344914,16043.776691923116,31.181499386779635,2,3,21200.89601380288,8.862515449369166,3401.7708023163254,1
44,68240.49566371072,20592.87641534908,23.19461864519382,2,3,51052.802586276535,17.771588701036386,3237.7054263536,1
26,61738.95613071274,4786.359283547308,3.1898736466813964,2,2,36330.55982248197,5.436972344100401,3556.700468220987,1
58,66375.66670770511,13529.274081321353,29.865314694381695,3,2,51604.62205836217,10.82939831206565,700.0,1
41,29723.156234366517,20105.346707892466,19.815271940884053,1,0,44434.065361970526,18.778449193710543,4052.1218206150465,1
43,60958.72278993152,33860.03830959867,20.442712258626685,2,3,500.0,11.313066095044368,2897.3644582160373,1
37,49552.84432953196,20219.82777676271,8.40370859042713,2,2,41068.121092463945,3.775783461711358,3801.186144510204,0
29,46309.777142956395,31837.203611929992,0.0,1,0,23813.841258939283,8.18507398061374,1542.828970777963,0
62,70670.00096955508,24407.2911020292,34.242075879327146,3,1,50970.20137082717,9.403900915546576,1021.5558398702151,1
56,81626.94119213615,34274.013394646856,35.0,3,2,40641.734912462394,14.169065666369809,4207.739916505076,1
49,87298.66098280647,17409.577826949444,25.87503542673423,0,2,40853.44268338093,13.070251703190428,1766.1303488424364,1
39,78666.54168710629,41902.22710651804,12.35258524219292,1,4,25099.629677251494,0.0,2320.235985830219,1
58,53024.78473065669,13146.03797085877,35.0,0,1,13573.088542059755,2.718977239019117,3074.70917641624,1
45,61348.96293447418,10335.38165802331,18.89888592829072,1,1,22208.03473853054,6.6498663869319925,3295.597994259664,1
40,68802.81169211639,5899.471503109658,24.60918417135665,1,3,500.0,1.923564687311524,3570.574665377857,1
41,57181.20308739031,41310.2467155807,13.00741070159495,1,0,19373.81277816038,0.0,2801.0475506517223,0
31,57353.7553824078,26194.47572617898,5.210005457403651,1,1,3645.1362082902197,3.3719075612466125,1651.1216992468662,0
25,69827.55637377128,14658.792666196916,0.0,3,2,4120.665532359406,6.9819469625616914,3235.969369253799,0
45,53932.91237153322,30490.226968734947,16.892469692327676,1,2,32096.61925007177,4.3735765859428035,3250.300450760121,1
60,41872.83514527409,24876.92185117782,35.0,0,1,39612.88091107129,2.015283724618297,966.4685979324026,1
23,47539.48481495454,37661.274713755905,0.0,2,1,29427.717356846115,7.207323123924144,3876.8163574880173,0
59,66410.38679920736,2521.671672600887,33.99684055130064,1,1,21021.771047908765,8.71544087626065,700.0,1
58,55053.87924159921,15346.398916857455,35.0,1,1,12946.653079699336,4.657014430172641,3530.974072934464,1
33,61123.77958363008,13374.786160571744,7.408823337112197,1,1,24290.526137435205,13.858719112368359,2029.3010287479583,1
